"group","indval","pvalue","freq","tf_bin"
"Bosque Ripario",0.289148056512828,0.023,63,"X173"
"Bosque Ripario",0.283630885383879,0.047,71,"X46"
"Bosque Ripario",0.276176525952268,0.02,61,"X301"
"Bosque Ripario",0.261000664542997,0.045,61,"X2839"
"Bosque Ripario",0.257198418713452,0.018,50,"X429"
"Bosque Ripario",0.250836425812926,0.029,56,"X45"
"Bosque Ripario",0.221516556944253,0.04,47,"X530"
"Herbazales",0.55269618066695,0.001,76,"X932"
"Herbazales",0.533051944559254,0.001,82,"X1061"
"Herbazales",0.504986853487166,0.001,97,"X802"
"Herbazales",0.495034464846797,0.001,147,"X2728"
"Herbazales",0.493992741388073,0.002,78,"X2590"
"Herbazales",0.487907110438019,0.001,62,"X2229"
"Herbazales",0.480417718525729,0.001,76,"X30"
"Herbazales",0.476136140330165,0.001,54,"X669"
"Herbazales",0.473555775041147,0.001,83,"X1190"
"Herbazales",0.467133883447588,0.002,95,"X1191"
"Herbazales",0.465553521039701,0.001,94,"X801"
"Herbazales",0.456222593572398,0.002,105,"X2087"
"Herbazales",0.450405668669546,0.001,155,"X2473"
"Herbazales",0.449208178194896,0.001,79,"X803"
"Herbazales",0.444356638856534,0.004,102,"X1959"
"Herbazales",0.442558551848855,0.001,97,"X2355"
"Herbazales",0.440558490916902,0.003,152,"X2856"
"Herbazales",0.4395972144259,0.002,126,"X2660"
"Herbazales",0.435805513354037,0.003,101,"X2356"
"Herbazales",0.435617609713356,0.002,111,"X2086"
"Herbazales",0.434120574191847,0.004,151,"X2345"
"Herbazales",0.432510801099956,0.008,105,"X2336"
"Herbazales",0.431321744778447,0.002,94,"X2359"
"Herbazales",0.428126804687874,0.005,116,"X2406"
"Herbazales",0.425179302042299,0.004,90,"X2482"
"Herbazales",0.422902395510317,0.01,148,"X2344"
"Herbazales",0.420698597779047,0.02,154,"X2472"
"Herbazales",0.42004597899946,0.001,85,"X1062"
"Herbazales",0.418666217615036,0.003,79,"X2592"
"Herbazales",0.41841653444125,0.019,148,"X2600"
"Herbazales",0.416869354054846,0.004,80,"X1446"
"Herbazales",0.416016657987158,0.007,101,"X2483"
"Herbazales",0.414195812199735,0.002,86,"X2462"
"Herbazales",0.414098371388971,0.002,66,"X2353"
"Herbazales",0.413459476211264,0.003,94,"X2362"
"Herbazales",0.412899680133534,0.012,156,"X2601"
"Herbazales",0.412538058828985,0.003,87,"X1319"
"Herbazales",0.406610910171618,0.005,86,"X2718"
"Herbazales",0.405915427184997,0.047,125,"X2091"
"Herbazales",0.405635388427697,0.005,85,"X1318"
"Herbazales",0.405313136128535,0.002,63,"X541"
"Herbazales",0.405012504642084,0.001,51,"X689"
"Herbazales",0.403917886922678,0.001,87,"X1831"
"Herbazales",0.403443906789863,0.004,84,"X2846"
"Herbazales",0.403022990108007,0.002,75,"X2480"
"Herbazales",0.402427030435823,0.001,38,"X1077"
"Herbazales",0.401775862321284,0.003,82,"X1189"
"Herbazales",0.400170347374959,0.028,129,"X2721"
"Herbazales",0.399876818928991,0.019,154,"X2984"
"Herbazales",0.398233263868359,0.008,90,"X2354"
"Herbazales",0.397750347491085,0.013,124,"X2366"
"Herbazales",0.397470454033263,0.016,117,"X2405"
"Herbazales",0.397215106738326,0.001,51,"X691"
"Herbazales",0.393157632570176,0.007,85,"X2847"
"Herbazales",0.392710211445531,0.013,110,"X2364"
"Herbazales",0.392027065028894,0.009,80,"X2591"
"Herbazales",0.389945362089905,0.008,98,"X2357"
"Herbazales",0.389210799322214,0.014,97,"X2358"
"Herbazales",0.388240289759243,0.007,97,"X931"
"Herbazales",0.387730490098842,0.008,99,"X1060"
"Herbazales",0.387569588520601,0.019,122,"X2537"
"Herbazales",0.387077290688937,0.004,89,"X805"
"Herbazales",0.386081320596989,0.003,53,"X414"
"Herbazales",0.384754463515289,0.024,114,"X2410"
"Herbazales",0.384707137708977,0.001,58,"X2104"
"Herbazales",0.382151699164037,0.001,49,"X670"
"Herbazales",0.379574096686369,0.001,39,"X1335"
"Herbazales",0.378011784399176,0.028,121,"X2532"
"Herbazales",0.377411985722475,0.017,97,"X2610"
"Herbazales",0.377296901717186,0.006,84,"X800"
"Herbazales",0.377156297080225,0.022,117,"X2916"
"Herbazales",0.376815201091662,0.021,114,"X2791"
"Herbazales",0.376588865044287,0.012,101,"X2335"
"Herbazales",0.373636755074087,0.007,83,"X2737"
"Herbazales",0.373195032997036,0.01,83,"X1447"
"Herbazales",0.372591813268647,0.021,105,"X1958"
"Herbazales",0.372375066901734,0.003,73,"X804"
"Herbazales",0.369435656878485,0.003,36,"X1463"
"Herbazales",0.369193445107273,0.018,115,"X2400"
"Herbazales",0.368778821096103,0.012,87,"X2975"
"Herbazales",0.368315169776867,0.024,117,"X2663"
"Herbazales",0.366782414423436,0.013,86,"X2719"
"Herbazales",0.365955046769341,0.034,111,"X2914"
"Herbazales",0.365203248497886,0.01,79,"X2974"
"Herbazales",0.364572561587222,0.006,68,"X413"
"Herbazales",0.364020321560357,0.002,39,"X1206"
"Herbazales",0.362424172473128,0.005,59,"X2103"
"Herbazales",0.362415077320432,0.013,88,"X2848"
"Herbazales",0.362021936267482,0.028,112,"X2404"
"Herbazales",0.360965120483974,0.033,113,"X2371"
"Herbazales",0.360585414027894,0.026,105,"X2484"
"Herbazales",0.360023433752936,0.004,40,"X1465"
"Herbazales",0.359406921854434,0.001,58,"X817"
"Herbazales",0.359296347600105,0.001,46,"X948"
"Herbazales",0.358202778107428,0.02,101,"X2739"
"Herbazales",0.357807314313887,0.005,63,"X2228"
"Herbazales",0.357718661636117,0.001,42,"X1591"
"Herbazales",0.356885586684677,0.016,98,"X2363"
"Herbazales",0.35638378182837,0.005,58,"X2230"
"Herbazales",0.355862482909603,0.002,37,"X1208"
"Herbazales",0.3545170311427,0.003,71,"X286"
"Herbazales",0.354361282560999,0.035,107,"X2413"
"Herbazales",0.353904658184347,0.01,70,"X285"
"Herbazales",0.351395119350315,0.003,63,"X158"
"Herbazales",0.351057501461844,0.009,78,"X157"
"Herbazales",0.350455495268251,0.004,61,"X1974"
"Herbazales",0.349647280345489,0.013,93,"X2361"
"Herbazales",0.345687360790131,0.025,94,"X1830"
"Herbazales",0.345363859361298,0.005,59,"X542"
"Herbazales",0.344878710670214,0.016,82,"X31"
"Herbazales",0.343892780263908,0.027,86,"X2463"
"Herbazales",0.343802626901887,0.004,56,"X818"
"Herbazales",0.343530033101419,0.001,39,"X1205"
"Herbazales",0.342994417604695,0.005,61,"X1185"
"Herbazales",0.342304773544475,0.026,93,"X1317"
"Herbazales",0.34196235405008,0.002,49,"X946"
"Herbazales",0.341606405538754,0.002,51,"X1074"
"Herbazales",0.339790696840615,0.016,90,"X930"
"Herbazales",0.338789514123059,0.006,58,"X1975"
"Herbazales",0.337277021791647,0.011,70,"X2481"
"Herbazales",0.335939836688338,0.007,47,"X1720"
"Herbazales",0.335872710531549,0.019,81,"X2864"
"Herbazales",0.335418392163891,0.002,57,"X2102"
