,ID_MUES_PT,NOMBRE,N_COBERT,Dis_Palma,MDS1,MDS2,sensor_name_x,Cobertura_x,temporada,eventID,sensor_name_y,decimalLat,decimalLon,Tipo,Dis_CP,Dis_Oleodu,Dis_Pozo,Dis_Pozact,Dis_Ferroc,Dis_Kale,Dis_Plater,DisBosque,Dis_CobNat,Dis_Cienag,Dis_MGSG,Dis_Dre345,UCSuelo,Cobertura_y,Tam_Parche,Plataf,Dis_PlatEf,Dis_ViaPri,Dia_ViaSec,Presión sonora 1,Presión sonora 2,Presión sonora 3,Presión sonora 4
14,ANH_390,G017,Bosque Denso,45.2945193685,1.08974359825034,-0.103928330769297,G017,Bosque Denso,T1,ANH_390,G017,7.295555556,-73.70641667,PE,666.3639352,1273.834964,981.2044387,2253.751051,4392.499686,16842.25044,19229.26169,0.0,0.0,15930.93235,4306.387574,1388.922353,PVCb2,Bosque Denso,215.8260198,Caracterizacion,16842.25044,51.15513617,2252.142076,32.6,43.9,50.6,43.7
15,ANH_208,G018,Palma,0.0,-0.570248665050283,-0.0195263786103628,G018,Palma,T1,ANH_208,G018,7.347972222,-73.83280556,PE,1980.013037,704.0517449,5959.487041,5959.487041,2254.022409,1874.748542,9850.98394,344.0404688,344.0404688,4614.486563,7762.186907,1649.583059,PVCb2,Palma,192.7647681,Kale,1874.748542,2353.137709,728.522826,59.5,53.0,51.6,35.4
16,ANH_192,G019,Pastos,300.850862305,-0.464522977254806,-0.310735504561904,G019,Pastos,T1,ANH_192,G019,7.445833334,-73.86736111,PE,5498.30849,1877.934253,2244.033707,2244.033707,11730.60932,7148.387597,19298.79796,88.4132487,88.4132487,7718.671897,3174.919277,660.8522666,RVEa,Pastos,70.56456982,Kale,7148.387597,2030.534554,8086.270419,63.0,51.4,56.0,58.1
17,ANH_197,G02A,Bosque Abierto,334.663625548,-0.266437837809795,-0.228248817134376,G02A,Bosque Abierto,T1,ANH_197,G02A,7.417861111,-73.85855556,PE,4023.661666,1078.834482,2217.183272,2217.183272,9296.172219,4029.469637,16318.53792,0.0,0.0,6815.194394,3421.661937,1421.573813,RVCa,Bosque Abierto,103.0506679,Kale,4029.469637,3300.784485,5195.805025,43.6,54.0,41.2,45.0
18,ANH_338,G020,Bosque Ripario,0.0,-0.630564147837257,-0.137393827956054,G020,Bosque Ripario,T1,ANH_338,G020,7.279083334,-73.80711111,PE,3643.410695,131.5458229,4813.988206,4814.809145,2203.732165,9882.061681,7969.969705,0.0,0.0,9282.594845,4297.863472,4307.941856,PVAa,Bosque Ripario,11.53541432,Platero,7969.969705,219.3604827,4620.430633,53.1,40.5,60.5,39.2
19,ANH_327,G021,Palma,2.67629417282,-0.0874228104694905,0.135858233525778,G021,Palma,T1,ANH_327,G021,7.225138889,-73.85913889,PE,1006.016169,2854.974166,2158.078121,5201.194722,6411.222235,14955.64248,3868.185453,1772.849321,1034.695959,6391.166681,1041.060881,10004.54354,PVAa,Palma,183.1202655,Platero,3868.185453,2635.188679,990.1060891,50.6,62.5,43.8,62.2
20,ANH_275,G022,Bosque Ripario,9.5706016457,0.0064787860033309,0.132367674785971,G022,Bosque Ripario,T1,ANH_275,G022,7.383444445,-73.82483333,PE,5965.635048,2289.976025,3605.917996,3605.917996,5659.295877,2180.09069,13723.63607,0.0,0.0,5565.372647,7958.510969,3811.166043,PVAa,Bosque Ripario,13.70710311,Kale,2180.09069,6371.785651,16.52711016,42.0,59.3,56.1,48.5
21,ANH_240,G023,Bosque Ripario,23.0398784133,0.899649992593906,0.062118449190106,G023,Bosque Ripario,T1,ANH_240,G023,7.395027778,-73.80772222,PE,4119.181686,2280.232367,5108.575674,5108.575674,5066.535368,4326.487064,15740.63153,0.0,0.0,3403.023036,9451.940769,1828.992515,PVCb2,Bosque Ripario,71.81317271,Kale,4326.487064,7987.321647,541.7817932,41.4,44.9,40.6,42.9
22,ANH_256,G024,Palma,0.0,-0.551354635309207,0.0540199674887645,G024,Palma,T1,ANH_256,G024,7.295527778,-73.78208333,PE,1791.529429,980.6806021,2980.080059,6834.268508,746.2828411,9937.441853,11011.44757,1031.781288,748.6124782,11850.60216,5575.918838,1780.749624,PVAa,Palma,1096.107556,Caracterizacion,9937.441853,2527.744725,5422.704957,64.3,43.5,52.1,39.2
23,ANH_389,G025,Bosque Ripario,6.86424415185,0.664721630931928,0.187314458622041,G025,Bosque Ripario,T1,ANH_389,G025,7.454416667,-73.78519444,PE,3603.848487,1612.212719,7067.288293,7067.288293,6153.653098,10388.83299,22700.88287,0.0,0.0,67.26783534,11790.10208,2413.80669,RVCa,Bosque Ripario,51.44965408,Kale,10388.83299,7368.493046,3914.517937,67.1,62.9,47.1,60.8
