Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.999994792	0.000	628.272		ANT	TRAMOT	
1	Spectrogram 1	1	0.000000000	59.999994792	0.000	628.272	0.000	ANT	TRAMOT	
2	Waveform 1	1	0.000000000	59.999994792	6282.723	6659.686		BIO	INSECT	
2	Spectrogram 1	1	0.000000000	59.999994792	6282.723	6659.686	6375.000	BIO	INSECT	
3	Waveform 1	1	4.487804488	56.780482876	691.099	4774.869		BIO	AVEVOC	SALCOE
3	Spectrogram 1	1	4.487804488	56.780482876	691.099	4774.869	2250.000	BIO	AVEVOC	SALCOE
4	Waveform 1	1	27.073168382	28.487802405	942.408	4963.351		BIO	AVEVOC	PSITTA
4	Spectrogram 1	1	27.073168382	28.487802405	942.408	4963.351	3750.000	BIO	AVEVOC	PSITTA
5	Waveform 1	1	42.780484091	45.365849721	1130.890	2575.916		BIO	AVEVOC	
5	Spectrogram 1	1	42.780484091	45.365849721	1130.890	2575.916	1875.000	BIO	AVEVOC	
6	Waveform 1	1	0.000000000	59.999994792	4712.042	5151.832		BIO	INSECT	
6	Spectrogram 1	1	0.000000000	59.999994792	4712.042	5151.832	4875.000	BIO	INSECT	
7	Waveform 1	1	0.000000000	59.365848505	6785.340	7853.403		BIO	INSECT	
7	Spectrogram 1	1	0.000000000	59.365848505	6785.340	7853.403	7500.000	BIO	INSECT	
8	Waveform 1	1	0.000000000	59.999994792	8984.293	10554.974		BIO	INSECT	
8	Spectrogram 1	1	0.000000000	59.999994792	8984.293	10554.974	9375.000	BIO	INSECT	
10	Waveform 1	1	0.000000000	59.999994792	10775.386	25414.129		BIO	INSECT	
10	Spectrogram 1	1	0.000000000	59.999994792	10775.386	25414.129	19875.000	BIO	INSECT	
11	Waveform 1	1	40.505735339	45.647780348	28521.954	43353.370			INDETE	
11	Spectrogram 1	1	40.505735339	45.647780348	28521.954	43353.370	34875.000		INDETE	
