Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.284090884	59.999994792	10778.443	17892.216		BIO	INSECT	
1	Spectrogram 1	1	0.284090884	59.999994792	10778.443	17892.216	15375.000	BIO	INSECT	
2	Waveform 1	1	0.000000000	59.999994792	7832.335	10347.305		BIO	INSECT	
2	Spectrogram 1	1	0.000000000	59.999994792	7832.335	10347.305	8625.000	BIO	INSECT	
3	Waveform 1	1	0.000000000	59.943176615	3736.527	7544.910		BIO	INSECT	
3	Spectrogram 1	1	0.000000000	59.943176615	3736.527	7544.910	6375.000	BIO	INSECT	
4	Waveform 1	1	5.056817743	58.352267662	18467.066	20910.180		BIO	MURCIE	
4	Spectrogram 1	1	5.056817743	58.352267662	18467.066	20910.180	19875.000	BIO	MURCIE	
5	Waveform 1	1	14.659089637	31.249997287	2870.432	3348.837		BIO	INSECT	
5	Spectrogram 1	1	14.659089637	31.249997287	2870.432	3348.837	3000.000	BIO	INSECT	
6	Waveform 1	1	0.000000000	59.999994792	2392.027	3029.900		BIO	INSECT	
6	Spectrogram 1	1	0.000000000	59.999994792	2392.027	3029.900	3000.000	BIO	INSECT	
7	Waveform 1	1	0.624999946	1.590908953	17922.479	30042.080		BIO	INSECT	
7	Spectrogram 1	1	0.624999946	1.590908953	17922.479	30042.080	22500.000	BIO	INSECT	
8	Waveform 1	1	3.693181498	56.874995063	21988.924	24779.621		BIO	INSECT	
8	Spectrogram 1	1	3.693181498	56.874995063	21988.924	24779.621	23625.000	BIO	INSECT	
9	Waveform 1	1	58.579540370	59.659085730	18400.884	28447.395		BIO	INSECT	
9	Spectrogram 1	1	58.579540370	59.659085730	18400.884	28447.395	21750.000	BIO	INSECT	
10	Waveform 1	1	45.284086978	46.079541455	18879.289	29962.346		BIO	INSECT	
10	Spectrogram 1	1	45.284086978	46.079541455	18879.289	29962.346	23250.000	BIO	INSECT	
11	Waveform 1	1	20.113634618	21.079543625	18640.086	30679.954		BIO	INSECT	
11	Spectrogram 1	1	20.113634618	21.079543625	18640.086	30679.954	21750.000	BIO	INSECT	
12	Waveform 1	1	8.636362887	55.965904233	20093.023	21448.505		BIO	MURCIE	
12	Spectrogram 1	1	8.636362887	55.965904233	20093.023	21448.505	20625.000	BIO	MURCIE	
