Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.661330663	0.000	2070.288		BIO	HERPET	
1	Spectrogram 1	1	0.000000000	59.661330663	0.000	2070.288	375.000	BIO	HERPET	
2	Waveform 1	1	0.000000000	59.999994792	2760.383	3373.802		BIO	INSECT	
2	Spectrogram 1	1	0.000000000	59.999994792	2760.383	3373.802	3000.000	BIO	INSECT	
3	Waveform 1	1	0.000000000	59.999994792	3527.157	3910.543		BIO	INSECT	
3	Spectrogram 1	1	0.000000000	59.999994792	3527.157	3910.543	3750.000	BIO	INSECT	
4	Waveform 1	1	0.000000000	59.999994792	4600.639	5597.444		BIO	INSECT	
4	Spectrogram 1	1	0.000000000	59.999994792	4600.639	5597.444	4875.000	BIO	INSECT	
5	Waveform 1	1	0.000000000	59.999994792	6210.863	6900.958		BIO	INSECT	
5	Spectrogram 1	1	0.000000000	59.999994792	6210.863	6900.958	6750.000	BIO	INSECT	
6	Waveform 1	1	0.000000000	59.999994792	7514.377	8741.214		BIO	INSECT	
6	Spectrogram 1	1	0.000000000	59.999994792	7514.377	8741.214	8250.000	BIO	INSECT	
7	Waveform 1	1	34.656629165	36.519281872	8817.891	22236.422		BIO	INSECT	
7	Spectrogram 1	1	34.656629165	36.519281872	8817.891	22236.422	15750.000	BIO	INSECT	
8	Waveform 1	1	53.678264390	59.999994792	9507.987	20396.166		BIO	INSECT	
8	Spectrogram 1	1	53.678264390	59.999994792	9507.987	20396.166	16875.000	BIO	INSECT	
9	Waveform 1	1	0.225776086	38.946374794	9354.633	19782.748		BIO	INSECT	
9	Spectrogram 1	1	0.225776086	38.946374794	9354.633	19782.748	16125.000	BIO	INSECT	
10	Waveform 1	1	44.590776938	44.929441067	8281.150	20242.812		BIO	INSECT	
10	Spectrogram 1	1	44.590776938	44.929441067	8281.150	20242.812	18000.000	BIO	INSECT	
11	Waveform 1	1	39.567259030	53.565376347	13418.530	21009.585		BIO	INSECT	
11	Spectrogram 1	1	39.567259030	53.565376347	13418.530	21009.585	18375.000	BIO	INSECT	
12	Waveform 1	1	1.136363538	55.170449756	20311.225	26190.790		BIO	INDETE	
12	Spectrogram 1	1	1.136363538	55.170449756	20311.225	26190.790	22875.000	BIO	INDETE	
