Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.999994792	5214.058	11654.952		BIO	INSECT	
1	Spectrogram 1	1	0.000000000	59.999994792	5214.058	11654.952	8250.000	BIO	INSECT	
2	Waveform 1	1	20.150515654	59.999994792	2453.674	3220.447		BIO	INSECT	
2	Spectrogram 1	1	20.150515654	59.999994792	2453.674	3220.447	3000.000	BIO	INSECT	
3	Waveform 1	1	17.158982518	23.762933027	306.709	2837.061		BIO	AVEVOC	CAMGRY
3	Spectrogram 1	1	17.158982518	23.762933027	306.709	2837.061	750.000	BIO	AVEVOC	CAMGRY
4	Waveform 1	1	9.200375495	16.538098282	2300.319	2837.061		BIO	AVEVOC	MILCHI
4	Spectrogram 1	1	9.200375495	16.538098282	2300.319	2837.061	2625.000	BIO	AVEVOC	MILCHI
5	Waveform 1	1	33.640636779	36.237061765	613.419	1610.224		BIO	AVEVOC	
5	Spectrogram 1	1	33.640636779	36.237061765	613.419	1610.224	1125.000	BIO	AVEVOC	
6	Waveform 1	1	0.395108150	59.999994792	0.000	766.773		ANT	TRAMOT	
6	Spectrogram 1	1	0.395108150	59.999994792	0.000	766.773	0.000	ANT	TRAMOT	
