Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.999994792	7447.896	8724.678		BIO	INSECT	
1	Spectrogram 1	1	0.000000000	59.999994792	7447.896	8724.678	7875.000	BIO	INSECT	
2	Waveform 1	1	0.000000000	59.999994792	3404.752	5532.723		BIO	INSECT	
2	Spectrogram 1	1	0.000000000	59.999994792	3404.752	5532.723	4125.000	BIO	INSECT	
3	Waveform 1	1	23.409088877	59.999994792	10001.460	21598.898		BIO	INSECT	
3	Spectrogram 1	1	23.409088877	59.999994792	10001.460	21598.898	16500.000	BIO	INSECT	
4	Waveform 1	1	0.000000000	10.624999078	8937.475	9788.663		BIO	INSECT	
4	Spectrogram 1	1	0.000000000	10.624999078	8937.475	9788.663	9375.000	BIO	INSECT	
5	Waveform 1	1	0.000000000	59.999994792	6064.715	7128.700		BIO	INSECT	
5	Spectrogram 1	1	0.000000000	59.999994792	6064.715	7128.700	6750.000	BIO	INSECT	
6	Waveform 1	1	10.738635431	12.556817092	21922.888	26737.935		BIO	INSECT	
6	Spectrogram 1	1	10.738635431	12.556817092	21922.888	26737.935	24750.000	BIO	INSECT	
8	Waveform 1	1	0.000000000	59.999994792	2106.583	2557.994		BIO	INDETE	
8	Spectrogram 1	1	0.000000000	59.999994792	2106.583	2557.994	2250.000	BIO	INDETE	
9	Waveform 1	1	21.704543570	23.181816170	10156.740	14369.906		BIO	MURCIE?	
9	Spectrogram 1	1	21.704543570	23.181816170	10156.740	14369.906	12375.000	BIO	MURCIE?	
10	Waveform 1	1	0.047709615	1.476134093	27413.986	53000.373		BIO	MURCIE	PHYLLO
10	Spectrogram 1	1	0.047709615	1.476134093	27413.986	53000.373	31875.000	BIO	MURCIE	PHYLLO
11	Waveform 1	1	12.038855524	14.884481534	27413.986	48300.832		BIO	MURCIE	PHYLLO
11	Spectrogram 1	1	12.038855524	14.884481534	27413.986	48300.832	31500.000	BIO	MURCIE	PHYLLO
