Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	2.780487564	56.975604810	1130.890	2324.607		BIO	HERPET	
1	Spectrogram 1	1	2.780487564	56.975604810	1130.890	2324.607	1875.000	BIO	HERPET	
2	Waveform 1	1	0.048780484	59.951214308	2387.435	4020.942		BIO	INSECT	
2	Spectrogram 1	1	0.048780484	59.951214308	2387.435	4020.942	3000.000	BIO	INSECT	
3	Waveform 1	1	0.097560967	59.902433825	4146.597	5277.487		BIO	INSECT	
3	Spectrogram 1	1	0.097560967	59.902433825	4146.597	5277.487	4500.000	BIO	INSECT	
4	Waveform 1	1	0.292682901	58.048775449	5905.759	6659.686		BIO	INSECT	
4	Spectrogram 1	1	0.292682901	58.048775449	5905.759	6659.686	6375.000	BIO	INSECT	
5	Waveform 1	1	0.000000000	59.951214308	6910.995	8418.848		BIO	INSECT	
5	Spectrogram 1	1	0.000000000	59.951214308	6910.995	8418.848	7500.000	BIO	INSECT	
6	Waveform 1	1	0.195121934	59.902433825	10429.319	26450.262		BIO	INSECT	
6	Spectrogram 1	1	0.195121934	59.902433825	10429.319	26450.262	18750.000	BIO	INSECT	
