Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Descripción
1	Waveform 1	1	1.682785154	9.690521403	6862.704	7341.497		BIO	INDETE	
1	Spectrogram 1	1	1.682785154	9.690521403	6862.704	7341.497	7125.000	BIO	INDETE	
2	Waveform 1	1	28.781428836	30.406186916	13682.725	22886.197		BIO	INDETE	
2	Spectrogram 1	1	28.781428836	30.406186916	13682.725	22886.197	18375.000	BIO	INDETE	
3	Waveform 1	1	0.000000000	59.941967717	2708.464	4514.107		BIO	INDETE	
3	Spectrogram 1	1	0.000000000	59.941967717	2708.464	4514.107	3750.000	BIO	INDETE	
4	Waveform 1	1	0.000000000	27.736941499	9931.034	18959.248		BIO	INSECT	
4	Spectrogram 1	1	0.000000000	27.736941499	9931.034	18959.248	15750.000	BIO	INSECT	
5	Waveform 1	1	0.000000000	59.999994792	5717.868	8405.482		BIO	INSECT	
5	Spectrogram 1	1	0.000000000	59.999994792	5717.868	8405.482	6375.000	BIO	INSECT	
