Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.999994792	3297.125	3833.866		BIO	INSECT	
1	Spectrogram 1	1	0.000000000	59.999994792	3297.125	3833.866	3750.000	BIO	INSECT	
2	Waveform 1	1	0.000000000	59.830662727	4293.930	5214.058		BIO	INSECT	
2	Spectrogram 1	1	0.000000000	59.830662727	4293.930	5214.058	4875.000	BIO	INSECT	
3	Waveform 1	1	1.806208686	59.209778491	5444.089	6517.572		BIO	INSECT	
3	Spectrogram 1	1	1.806208686	59.209778491	5444.089	6517.572	6000.000	BIO	INSECT	
4	Waveform 1	1	0.000000000	59.999994792	6900.958	7821.086		BIO	INSECT	
4	Spectrogram 1	1	0.000000000	59.999994792	6900.958	7821.086	7125.000	BIO	INSECT	
5	Waveform 1	1	5.418626058	47.130757903	11118.211	12881.789		BIO	INSECT	
5	Spectrogram 1	1	5.418626058	47.130757903	11118.211	12881.789	12000.000	BIO	INSECT	
6	Waveform 1	1	0.000000000	59.999994792	9047.923	9891.374		BIO	INSECT	
6	Spectrogram 1	1	0.000000000	59.999994792	9047.923	9891.374	9750.000	BIO	INSECT	
7	Waveform 1	1	2.596424986	51.476947554	10428.115	20932.907		BIO	INSECT	
7	Spectrogram 1	1	2.596424986	51.476947554	10428.115	20932.907	12375.000	BIO	INSECT	
