Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Feeding buzz
1	Waveform 1	1	0.564440214	57.855121977	306.709	690.096		BIO	AVEVOC	ZENAUR	
1	Spectrogram 1	1	0.564440214	57.855121977	306.709	690.096	375.000	BIO	AVEVOC	ZENAUR	
2	Waveform 1	1	0.000000000	59.999994792	3220.447	3833.866		BIO	INSECT		
2	Spectrogram 1	1	0.000000000	59.999994792	3220.447	3833.866	3375.000	BIO	INSECT		
3	Waveform 1	1	0.000000000	59.999994792	3910.543	4677.316		BIO	INSECT		
3	Spectrogram 1	1	0.000000000	59.999994792	3910.543	4677.316	4500.000	BIO	INSECT		
4	Waveform 1	1	9.426151581	33.189084607	4830.671	6134.185		BIO	AVEVOC		
4	Spectrogram 1	1	9.426151581	33.189084607	4830.671	6134.185	5625.000	BIO	AVEVOC		
5	Waveform 1	1	0.000000000	59.999994792	5674.121	10734.824		BIO	AVEVOC		
5	Spectrogram 1	1	0.000000000	59.999994792	5674.121	10734.824	7875.000	BIO	AVEVOC		
6	Waveform 1	1	0.056444021	59.999994792	16945.687	30420.603		BIO	INSECT		
6	Spectrogram 1	1	0.056444021	59.999994792	16945.687	30420.603	21750.000	BIO	INSECT		
7	Waveform 1	1	11.401692331	21.505172169	6440.895	7054.313		BIO	INSECT		
7	Spectrogram 1	1	11.401692331	21.505172169	6440.895	7054.313	6750.000	BIO	INSECT		
8	Waveform 1	1	0.000000000	59.999994792	6824.281	7897.764		BIO	INSECT		
8	Spectrogram 1	1	0.000000000	59.999994792	6824.281	7897.764	7500.000	BIO	INSECT		
9	Waveform 1	1	0.451552172	59.999994792	0.000	2453.674		GEO	LLUVIA		
9	Spectrogram 1	1	0.451552172	59.999994792	0.000	2453.674	750.000	GEO	LLUVIA		
10	Waveform 1	1	5.852272219	59.329073254	41156.955	51579.821		BIO	MURCIE	SAC_SP	YES
10	Spectrogram 1	1	5.852272219	59.329073254	41156.955	51579.821	46875.000	BIO	MURCIE	SAC_SP	YES
