Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.999994792	14108.626	24536.741		BIO	INSECT	
1	Spectrogram 1	1	0.000000000	59.999994792	14108.626	24536.741	19125.000	BIO	INSECT	
2	Waveform 1	1	0.000000000	59.999994792	6900.958	8587.859		BIO	INSECT	
2	Spectrogram 1	1	0.000000000	59.999994792	6900.958	8587.859	7875.000	BIO	INSECT	
3	Waveform 1	1	0.000000000	59.999994792	6210.863	6670.927		BIO	INSECT	
3	Spectrogram 1	1	0.000000000	59.999994792	6210.863	6670.927	6375.000	BIO	INSECT	
4	Waveform 1	1	0.000000000	59.999994792	3373.802	4447.284		BIO	INSECT	
4	Spectrogram 1	1	0.000000000	59.999994792	3373.802	4447.284	3750.000	BIO	INSECT	
5	Waveform 1	1	0.903104343	53.170268197	4523.962	4907.348		BIO	INSECT	
5	Spectrogram 1	1	0.903104343	53.170268197	4523.962	4907.348	4875.000	BIO	INSECT	
6	Waveform 1	1	0.000000000	59.999994792	0.000	996.805			INDETE	
6	Spectrogram 1	1	0.000000000	59.999994792	0.000	996.805	375.000		INDETE	
