Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	TIPO	ID	DETERMINACION
1	Waveform 1	1	22.577608576	31.044211792	9431.310	21316.294		BIO	INSECT	
1	Spectrogram 1	1	22.577608576	31.044211792	9431.310	21316.294	15750.000	BIO	INSECT	
2	Waveform 1	1	0.000000000	59.947749378	5980.831	8817.891		BIO	INSECT	
2	Spectrogram 1	1	0.000000000	59.947749378	5980.831	8817.891	6750.000	BIO	INSECT	
3	Waveform 1	1	0.079823901	59.999994792	3143.770	4984.026		BIO	INSECT	
3	Spectrogram 1	1	0.079823901	59.999994792	3143.770	4984.026	3750.000	BIO	INSECT	
4	Waveform 1	1	0.159647801	59.999994792	230.032	996.805		ANT	TRAMOT	
4	Spectrogram 1	1	0.159647801	59.999994792	230.032	996.805	375.000	ANT	TRAMOT	
