Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	TIPO	ID	DETERMINACION
1	Waveform 1	1	0.319295603	59.947749378	6824.281	9661.342		BIO	INSECT	
1	Spectrogram 1	1	0.319295603	59.947749378	6824.281	9661.342	8250.000	BIO	INSECT	
2	Waveform 1	1	0.000000000	59.999994792	2607.029	4370.607		BIO	INSECT	
2	Spectrogram 1	1	0.000000000	59.999994792	2607.029	4370.607	3750.000	BIO	INSECT	
4	Waveform 1	1	9.898163679	11.973585095	10351.438	18862.620		BIO	INSECT	
4	Spectrogram 1	1	9.898163679	11.973585095	10351.438	18862.620	16125.000	BIO	INSECT	
5	Waveform 1	1	43.743497549	46.297862369	10811.502	18862.620		BIO	INSECT	
5	Spectrogram 1	1	43.743497549	46.297862369	10811.502	18862.620	16875.000	BIO	INSECT	
