Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.999994792	10341.298	31120.034		BIO	INSECT	
1	Spectrogram 1	1	0.000000000	59.999994792	10341.298	31120.034	17250.000	BIO	INSECT	
2	Waveform 1	1	19.755407504	42.107239995	23068.916	26136.009		BIO	INSECT	
2	Spectrogram 1	1	19.755407504	42.107239995	23068.916	26136.009	24000.000	BIO	INSECT	
3	Waveform 1	1	0.000000000	59.999994792	7744.409	8587.859		BIO	INSECT	
3	Spectrogram 1	1	0.000000000	59.999994792	7744.409	8587.859	8250.000	BIO	INSECT	
4	Waveform 1	1	0.000000000	59.999994792	6440.895	7054.313		BIO	INSECT	
4	Spectrogram 1	1	0.000000000	59.999994792	6440.895	7054.313	6750.000	BIO	INSECT	
5	Waveform 1	1	11.232360267	25.851361820	4677.316	5597.444		BIO	INSECT	
5	Spectrogram 1	1	11.232360267	25.851361820	4677.316	5597.444	5250.000	BIO	INSECT	
6	Waveform 1	1	0.225776086	59.999994792	4140.575	5444.089		BIO	INSECT	
6	Spectrogram 1	1	0.225776086	59.999994792	4140.575	5444.089	4875.000	BIO	INSECT	
7	Waveform 1	1	0.000000000	59.999994792	2683.706	3527.157		BIO	INSECT	
7	Spectrogram 1	1	0.000000000	59.999994792	2683.706	3527.157	3375.000	BIO	INSECT	
8	Waveform 1	1	0.321412145	58.525843209	31488.000	45696.000		BIO	INSECT	
8	Spectrogram 1	1	0.321412145	58.525843209	31488.000	45696.000	37875.000	BIO	INSECT	
