Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.999994792	7361.022	8664.537		BIO	INSECT	
1	Spectrogram 1	1	0.000000000	59.999994792	7361.022	8664.537	7875.000	BIO	INSECT	
2	Waveform 1	1	16.820318389	52.436495919	2453.674	6900.958		BIO	AVEVOC	TROAED
2	Spectrogram 1	1	16.820318389	52.436495919	2453.674	6900.958	3750.000	BIO	AVEVOC	TROAED
3	Waveform 1	1	48.711190503	56.782685570	6210.863	6594.249		BIO	INSECT	
3	Spectrogram 1	1	48.711190503	56.782685570	6210.863	6594.249	6375.000	BIO	INSECT	
4	Waveform 1	1	1.015992386	59.999994792	2760.383	3220.447		BIO	INSECT	
4	Spectrogram 1	1	1.015992386	59.999994792	2760.383	3220.447	3000.000	BIO	INSECT	
5	Waveform 1	1	0.395108150	59.999994792	4217.252	4984.026		BIO	INSECT	
5	Spectrogram 1	1	0.395108150	59.999994792	4217.252	4984.026	4500.000	BIO	INSECT	
6	Waveform 1	1	4.007525522	7.224834744	9201.278	10198.083		BIO	INSECT	
6	Spectrogram 1	1	4.007525522	7.224834744	9201.278	10198.083	9750.000	BIO	INSECT	
