Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.999994792	0.000	879.581		ANT	TRAMOT	
1	Spectrogram 1	1	0.000000000	59.999994792	0.000	879.581	375.000	ANT	TRAMOT	
2	Waveform 1	1	0.000000000	59.999994792	5905.759	6973.822		BIO	INSECT	
2	Spectrogram 1	1	0.000000000	59.999994792	5905.759	6973.822	6375.000	BIO	INSECT	
3	Waveform 1	1	0.000000000	59.999994792	7162.304	8230.366		BIO	INSECT	
3	Spectrogram 1	1	0.000000000	59.999994792	7162.304	8230.366	7875.000	BIO	INSECT	
4	Waveform 1	1	0.000000000	59.999994792	8921.466	10303.665		BIO	INSECT	
4	Spectrogram 1	1	0.000000000	59.999994792	8921.466	10303.665	9750.000	BIO	INSECT	
5	Waveform 1	1	0.000000000	56.682921909	10492.147	10931.937		BIO	INSECT	
5	Spectrogram 1	1	0.000000000	56.682921909	10492.147	10931.937	10500.000	BIO	INSECT	
6	Waveform 1	1	0.000000000	59.999994792	17780.105	21549.738		BIO	INSECT	
6	Spectrogram 1	1	0.000000000	59.999994792	17780.105	21549.738	19500.000	BIO	INSECT	
7	Waveform 1	1	2.878048531	12.195120893	1884.817	5654.450		BIO	AVEVOC	PSITTA
7	Spectrogram 1	1	2.878048531	12.195120893	1884.817	5654.450	4500.000	BIO	AVEVOC	PSITTA
8	Waveform 1	1	0.243902418	59.999994792	879.581	5780.105		BIO	AVEVOC	
8	Spectrogram 1	1	0.243902418	59.999994792	879.581	5780.105	4125.000	BIO	AVEVOC	
9	Waveform 1	1	0.000000000	59.999994792	10743.455	17717.277		BIO		
9	Spectrogram 1	1	0.000000000	59.999994792	10743.455	17717.277	15750.000	BIO		
