Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.999994792	0.000	753.927		ANT	TRAMOT	
1	Spectrogram 1	1	0.000000000	59.999994792	0.000	753.927	375.000	ANT	TRAMOT	
2	Waveform 1	1	11.658535573	27.463412250	188.482	628.272			INDETE	
2	Spectrogram 1	1	11.658535573	27.463412250	188.482	628.272	375.000		INDETE	
3	Waveform 1	1	0.390243869	59.999994792	3141.361	4774.869		BIO	HERPET	
3	Spectrogram 1	1	0.390243869	59.999994792	3141.361	4774.869	4125.000	BIO	HERPET	
4	Waveform 1	1	8.390243174	9.756096714	1507.853	2575.916		BIO	AVEVOC	
4	Spectrogram 1	1	8.390243174	9.756096714	1507.853	2575.916	2250.000	BIO	AVEVOC	
5	Waveform 1	1	0.000000000	59.999994792	816.754	2952.880		BIO		
5	Spectrogram 1	1	0.000000000	59.999994792	816.754	2952.880	2250.000	BIO		
6	Waveform 1	1	0.000000000	59.999994792	4774.869	5340.314		BIO	INSECT	
6	Spectrogram 1	1	0.000000000	59.999994792	4774.869	5340.314	5250.000	BIO	INSECT	
7	Waveform 1	1	1.024390155	56.829263360	5905.759	6282.723		BIO	INSECT	
7	Spectrogram 1	1	1.024390155	56.829263360	5905.759	6282.723	6000.000	BIO	INSECT	
8	Waveform 1	1	0.829268221	59.999994792	7225.131	7916.230		BIO	INSECT	
8	Spectrogram 1	1	0.829268221	59.999994792	7225.131	7916.230	7875.000	BIO	INSECT	
9	Waveform 1	1	0.048780484	37.170728481	8481.675	8984.293		BIO	INSECT	
9	Spectrogram 1	1	0.048780484	37.170728481	8481.675	8984.293	8625.000	BIO	INSECT	
10	Waveform 1	1	0.000000000	59.999994792	9298.429	10806.283		BIO	INSECT	
10	Spectrogram 1	1	0.000000000	59.999994792	9298.429	10806.283	10125.000	BIO	INSECT	
11	Waveform 1	1	0.195121934	59.999994792	10680.628	14764.398		BIO	INSECT	
11	Spectrogram 1	1	0.195121934	59.999994792	10680.628	14764.398	11250.000	BIO	INSECT	
12	Waveform 1	1	0.000000000	59.999994792	15195.948	26818.984		BIO	INSECT	
12	Spectrogram 1	1	0.000000000	59.999994792	15195.948	26818.984	19875.000	BIO	INSECT	
