Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	11.170730738	45.024386336	314.136	628.272		BIO	AVEVOC	
1	Spectrogram 1	1	11.170730738	45.024386336	314.136	628.272	375.000	BIO	AVEVOC	
2	Waveform 1	1	0.000000000	59.999994792	0.000	691.099		ANT	TRAMOT	
2	Spectrogram 1	1	0.000000000	59.999994792	0.000	691.099	375.000	ANT	TRAMOT	
3	Waveform 1	1	0.292682901	59.560970440	1633.508	6157.068		BIO	HERPET	
3	Spectrogram 1	1	0.292682901	59.560970440	1633.508	6157.068	5250.000	BIO	HERPET	
4	Waveform 1	1	0.000000000	59.999994792	4837.696	5403.141		BIO	INSECT	
4	Spectrogram 1	1	0.000000000	59.999994792	4837.696	5403.141	5250.000	BIO	INSECT	
5	Waveform 1	1	11.951218475	19.024388592	5905.759	6408.377		BIO	INSECT	
5	Spectrogram 1	1	11.951218475	19.024388592	5905.759	6408.377	6375.000	BIO	INSECT	
6	Waveform 1	1	0.000000000	59.999994792	6219.895	7162.304		BIO	INSECT	
6	Spectrogram 1	1	0.000000000	59.999994792	6219.895	7162.304	6750.000	BIO	INSECT	
7	Waveform 1	1	0.000000000	59.999994792	9863.874	10617.801		BIO	INSECT	
7	Spectrogram 1	1	0.000000000	59.999994792	9863.874	10617.801	10125.000	BIO	INSECT	
8	Waveform 1	1	0.000000000	59.999994792	8293.194	8732.984		BIO	INSECT	
8	Spectrogram 1	1	0.000000000	59.999994792	8293.194	8732.984	8625.000	BIO	INSECT	
9	Waveform 1	1	15.414632808	28.195119504	8795.812	9361.257		BIO	INSECT	
9	Spectrogram 1	1	15.414632808	28.195119504	8795.812	9361.257	9000.000	BIO	INSECT	
10	Waveform 1	1	0.000000000	59.999994792	8921.466	9675.393		BIO	INSECT	
10	Spectrogram 1	1	0.000000000	59.999994792	8921.466	9675.393	9375.000	BIO	INSECT	
11	Waveform 1	1	0.000000000	59.999994792	7350.785	8230.366		BIO	INSECT	
11	Spectrogram 1	1	0.000000000	59.999994792	7350.785	8230.366	7875.000	BIO	INSECT	
12	Waveform 1	1	0.000000000	59.999994792	17061.198	21584.758		BIO	INSECT	
12	Spectrogram 1	1	0.000000000	59.999994792	17061.198	21584.758	19125.000	BIO	INSECT	
